Gene Names,Cluster label
C21orf58,1
C21orf59,2
C21orf67,19
C22orf30,17
C22orf40,2
C22orf9,20
C2CD2,14
C2orf32,4
C2orf37,16
C2orf47,17
C2orf61,10
C2orf64,14
C2orf86,3
C3orf23,11
C3orf25,9
C3orf35,16
C3orf39,16
C3orf54,8
C3orf63,12
C4orf16,5
C4orf18,13
C4orf23,19
C4orf27,17
C4orf37,5
C4orf38,15
C4orf42,4
C4orf45,4
C5,19
C5orf22,1
C5orf36,15
C5orf4,4
C5orf54,20
C6orf10,3
C6orf111,14
C6orf120,14
C6orf125,14
C6orf134,2
C6orf136,7
C6orf138,16
C6orf15,2
C6orf162,20
C6orf165,11
C6orf168,4
C6orf222,15
C6orf225,11
C6orf25,11
C6orf48,19
C7orf29,8
C7orf31,15
C7orf33,11
C7orf36,19
C7orf47,12
C7orf60,5
C8B,11
C8ORFK36,2
C8orf13,20
C8orf22,3
C8orf34,8
C8orf38,19
C8orf55,12
C8orf74,18
C9orf102,14
C9orf131,9
C9orf140,20
C9orf163,1
C9orf164,12
C9orf47,3
C9orf79,2
C9orf84,4
CA10,4
CA12,15
CA9,1
CAB39,14
CABP1,19
CACNA1D,15
CACNA1E,16
CACNA1H,16
CACNB1,1
CACNB2,3
CACNG5,10
CACNG7,18
CACNG8,10
CADM3,10
CADPS2,16
CAGE1,16
CALD1,15
CALM2,13
CALML4,18
CALN1,19
CALU,19
CAMK1,13
CAMK1D,6
CAMK1G,13
CAMK2N1,17
CAMKK1,4
CAMSAP1,14
CAMTA2,1
CAPN10,3
CAPN3,6
CAPN9,10
CAPNS2,11
CAPRIN2,19
CAPZA2,13
CARD8,17
CARHSP1,12
CASC3,17
CASC4,14
CASK,19
CASKIN1,3
CASP1,11
CASP3,17
CASP4,17
CASP7,1
CASP8,13
CAST,20
CATSPER1,12
CATSPER3,1
CAV2,1
CBFA2T2,20
CBLL1,17
CBLN2,20
CBR1,4
CBR4,14
CBX3,17
CBX8,1
CC2D1A,6
CCDC101,8
CCDC108,11
CCDC112,14
CCDC114,9
CCDC120,16
CCDC123,4
CCDC126,14
CCDC129,10
CCDC134,5
CCDC149,19
CCDC16,7
CCDC24,19
CCDC46,18
CCDC53,7
CCDC57,4
CCDC59,13
CCDC60,17
CCDC67,2
CCDC72,13
CCDC85A,10
CCDC87,16
CCDC97,16
CCDC99,20
CCIN,4
CCL13,20
CCL17,5
CCL21,1
CCL22,10
CCL27,10
CCL4L1,17
CCL8,8
CCNB1,20
CCNB3,10
CCNC,7
CCND1,20
CCNDBP1,14
CCNE2,2
CCNG1,13
CCNI,17
CCNJ,20
CCNL2,19
CCNT2,14
CCR10,4
CCR2,14
CCS,12
CCT2,14
CCT5,16
CCT6A,14
CCT6B,4
CCT6P1,20
CD160,17
CD1B,20
CD1E,1
CD200,6
CD300C,7
CD320,8
CD36,11
CD47,13
CD52,13
CD58,13
CD59,19
CD68,13
CD86,4
CDC2,5
CDC23,19
CDC37L1,5
CDC42,13
CDC42BPA,15
CDC42BPG,15
CDC5L,17
CDC7,12
CDC73,5
CDCP1,8
CDGAP,4
CDH10,3
CDH11,4
CDH15,9
CDK3,9
CDK5RAP1,12
CDK5RAP2,17
CDKL1,6
CDKL5,3
CDKN1A,12
CDKN2A,18
CDR2L,11
CDRT1,10
CEACAM19,6
CEBPG,14
CEBPZ,13
CELA2B,3
CEND1,16
CENPC1,19
CENPL,15
CENPQ,19
CENPV,17
CENTG2,12
CEP120,20
CEP152,20
CERCAM,9
CERK,19
CES1,13
CES3,12
CES4,4
CES8,20
CFHR2,8
CFL2,12
CGB,16
CGGBP1,13
CHAT,9
CHD1,13
CHD4,6
CHEK2,9
CHGB,3
CHI3L1,1
CHML,8
CHMP2A,17
CHMP4A,12
CHMP5,13
CHMP6,20
CHRD,2
CHRDL2,4
CHRFAM7A,3
CHRM1,18
CHRM2,2
CHRNA2,12
CHRNA3,4
CHRNA6,16
CHRNE,19
CHST1,6
CHST3,15
CHX10,12
CIDEC,11
CIP29,13
CISH,8
CKM,11
CKMT1B,10
CKS2,14
CLC,13
CLCA1,11
CLCF1,6
CLCN6,19
CLCNKA,3
CLCNKB,10
CLDN19,15
CLDN5,12
CLDN9,8
CLDND1,13
CLEC14A,16
CLEC2B,7
CLEC4A,13
CLEC4GP1,1
CLEC7A,20
CLECL1,14
CLIC1,7
CLIC3,12
CLIC6,20
CLINT1,13
CLNS1A,13
CLOCK,16
CLPX,19
CLRN3,15
CLTB,17
CLUAP1,20
CLUL1,6
CMA1,18
CMC1,20
CMTM3,17
CMTM4,20
CMTM7,7
CNIH2,16
CNIH3,15
CNKSR1,16
CNN1,3
CNN2,13
CNNM1,15
CNTN5,1
CNTNAP4,10
COBRA1,8
COL11A1,10
COL19A1,15
COL25A1,4
COL4A3BP,13
COL4A6,20
COLEC10,11
COMMD3,13
COMMD6,9
COPS4,7
COPS5,14
COQ2,14
CORO1B,12
COX15,6
COX18,18
COX7A2,13
COX7B,13
COX7C,13
CP,2
CP110,7
CPD,13
CPLX1,8
CPN2,8
CPNE3,14
CPS1,9
CPSF3L,6
CPSF4,12
CPT1B,4
CPVL,13
CPXCR1,3
CPXM2,19
CPZ,1
CRB1,20
CRB3,17
CRCT1,16
CREB5,9
CRHBP,4
CRISP2,12
CRK,7
CROP,7
CRSP2,11
CRSP6,11
CRTAP,14
CRYAA,19
CRYBA4,2
CSAG1,11
CSDC2,1
CSDE1,12
CSN1S1,19
CSRP2,4
CST4,9
CST6,1
CSTA,8
CSTF1,11
CSTF3,7
CT45A1,10
CT45A5,4
CTDP1,6
CTDSP1,17
CTF1,19
CTGLF1,4
CTNNB1,19
CTNNBL1,19
CTPS2,4
CTSD,17
CTSL1,1
CTSW,12
CTTNBP2,11
CUBN,15
CUL4A,20
CUL5,13
CUTC,14
CUX2,11
CX3CR1,13
CXCL12,10
CXCL14,8
CXCL17,8
CXCL9,11
CXCR5,13
CXXC1,12
CXorf39,20
CXorf40A,7
CXorf40B,17
CYB561,6
CYBB,14
CYLC2,16
CYLD,13
CYLN2,6
CYP11A1,8
CYP17A1,16
CYP20A1,2
CYP26A1,16
CYP2A7,6
CYP2S1,14
CYP4A11,8
CYP4F11,2
CYTL1,20
DACT1,19
DACT3,9
DALRD3,19
DAP,8
DAPK1,14
DARC,13
DAZ4,10
DBI,13
DBNDD1,8
DBNL,12
DCAF4L1,16
DCAF6,13
DCDC1,15
DCDC2,9
DCLK2,9
DCP1A,16
DCP2,13
DCUN1D4,7
DCX,20
DDI2,2
DDN,16
DDR1,12
DDR2,15
DDX1,14
DDX11,3
DDX23,6
DDX42,1
DDX46,7
DDX56,12
DDX59,15
DEDD,17
DEFB1,10
DEFB108B,4
DEFB121,9
DEFB137,3
DEK,13
DENND1C,8
DEPDC4,2
DERL1,14
